....########## Connecting to HK CDN1..############
│ R4.1_jsmpeg  │ 7  │ 1.0.0   │ fork │ 4642  │ online │ 8       │ 35h    │ 5%   │ 175.3 MB   │ root │ disabled │
│ RA5.1_jsmpeg │ 8  │ 1.0.0   │ fork │ 4630  │ online │ 6       │ 35h    │ 1.2% │ 135.3 MB   │ root │ disabled │
....########## Connecting to HK CDN7..############
│ BC4.2_jsmpeg │ 1  │ 1.0.0   │ fork │ 7406  │ online │ 498     │ 2D     │ 2.7% │ 283.5 MB   │ root │ disabled │
│ BC4.3_jsmpeg │ 2  │ 1.0.0   │ fork │ 17092 │ online │ 490     │ 35h    │ 2.2% │ 140.4 MB   │ root │ disabled │
│ BC4.4_jsmpeg │ 3  │ 1.0.0   │ fork │ 17098 │ online │ 503     │ 35h    │ 1.6% │ 141.9 MB   │ root │ disabled │
│ BC4.5_jsmpeg │ 4  │ 1.0.0   │ fork │ 17086 │ online │ 572     │ 35h    │ 2.2% │ 138.8 MB   │ root │ disabled │
│ R9.1_jsmpeg  │ 5  │ 1.0.0   │ fork │ 13436 │ online │ 851     │ 2D     │ 2.2% │ 467.0 MB   │ root │ disabled │
....########## Connecting to HK CDN8..############
│ BC3.2    │ 1  │ 1.0.0   │ fork │ 30152 │ online │ 1873    │ 7D     │ 1.4% │ 161.9 MB   │ root │ disabled │
│ BC3.3    │ 2  │ 1.0.0   │ fork │ 22719 │ online │ 1885    │ 35h    │ 1.5% │ 145.1 MB   │ root │ disabled │
│ BC3.4    │ 3  │ 1.0.0   │ fork │ 22756 │ online │ 1942    │ 35h    │ 0.7% │ 111.9 MB   │ root │ disabled │
│ BC3.5    │ 4  │ 1.0.0   │ fork │ 3678  │ online │ 1941    │ 5D     │ 0.7% │ 123.4 MB   │ root │ disabled │
│ SB9.1    │ 5  │ 1.0.0   │ fork │ 22772 │ online │ 2836    │ 35h    │ 0.8% │ 127.2 MB   │ root │ disabled │
....########## Connecting to HK CDN9..############
│ BJ11.1   │ 1  │ 1.0.0   │ fork │ 13981 │ online │ 1147    │ 35h    │ 1.5% │ 250.2 MB   │ root │ disabled │
│ BJ11.10  │ 10 │ 1.0.0   │ fork │ 13972 │ online │ 1323    │ 35h    │ 0.9% │ 118.6 MB   │ root │ disabled │
│ BJ11.2   │ 2  │ 1.0.0   │ fork │ 21473 │ online │ 1142    │ 5D     │ 0.9% │ 141.4 MB   │ root │ disabled │
│ BJ11.3   │ 3  │ 1.0.0   │ fork │ 13997 │ online │ 1177    │ 35h    │ 0.9% │ 127.5 MB   │ root │ disabled │
│ BJ11.4   │ 4  │ 1.0.0   │ fork │ 19881 │ online │ 1180    │ 26h    │ 1.3% │ 100.1 MB   │ root │ disabled │
│ BJ11.5   │ 5  │ 1.0.0   │ fork │ 14032 │ online │ 1220    │ 35h    │ 1.3% │ 140.1 MB   │ root │ disabled │
│ BJ11.6   │ 6  │ 1.0.0   │ fork │ 31789 │ online │ 1211    │ 5h     │ 1%   │ 104.0 MB   │ root │ disabled │
│ BJ11.7   │ 7  │ 1.0.0   │ fork │ 31846 │ online │ 1264    │ 5h     │ 1%   │ 102.9 MB   │ root │ disabled │
│ BJ11.8   │ 8  │ 1.0.0   │ fork │ 21457 │ online │ 1260    │ 5D     │ 1.2% │ 187.4 MB   │ root │ disabled │
│ BJ11.9   │ 9  │ 1.0.0   │ fork │ 14016 │ online │ 1319    │ 35h    │ 0.9% │ 106.1 MB   │ root │ disabled │
