....########## Connecting to CHINA CDN1..############
│ 0   │ SB4.1_jsmpeg    │ default     │ N/A     │ cluster │ 22765    │ 1s     │ 223… │ online    │ 0%       │ 46.2mb   │ root     │ disabled │
....########## Connecting to CHINA CDN6..############
│ 0   │ BC4.1_jsmpeg    │ default     │ N/A     │ cluster │ 26972    │ 37s    │ 227… │ online    │ 2.8%     │ 47.9mb   │ root     │ disabled │
│ 3   │ BJ5.1_jsmpeg    │ default     │ N/A     │ cluster │ 26991    │ 35s    │ 227… │ online    │ 4.9%     │ 48.1mb   │ root     │ disabled │
│ 4   │ R11.1_jsmpeg    │ default     │ N/A     │ cluster │ 27049    │ 4s     │ 236… │ online    │ 0%       │ 49.4mb   │ root     │ disabled │
│ 1   │ R4.1_jsmpeg     │ default     │ N/A     │ cluster │ 27002    │ 33s    │ 227… │ online    │ 3.6%     │ 47.6mb   │ root     │ disabled │
│ 2   │ RA5.1_jsmpeg    │ default     │ N/A     │ cluster │ 27029    │ 17s    │ 251… │ online    │ 2.6%     │ 48.4mb   │ root     │ disabled │
....########## Connecting to CHINA CDN7..############
│ 0   │ BC4.2_jsmpeg    │ default     │ N/A     │ cluster │ 29768    │ 3m     │ 216… │ online    │ 1.8%     │ 60.2mb   │ root     │ disabled │
│ 1   │ BC4.3_jsmpeg    │ default     │ N/A     │ cluster │ 29943    │ 51s    │ 220… │ online    │ 2.4%     │ 49.8mb   │ root     │ disabled │
│ 2   │ BC4.4_jsmpeg    │ default     │ N/A     │ cluster │ 29981    │ 9s     │ 219… │ online    │ 0%       │ 50.5mb   │ root     │ disabled │
│ 3   │ BC4.5_jsmpeg    │ default     │ N/A     │ cluster │ 29812    │ 2m     │ 222… │ online    │ 1.2%     │ 59.4mb   │ root     │ disabled │
│ 4   │ R9.1_jsmpeg     │ default     │ N/A     │ cluster │ 29992    │ 8s     │ 224… │ online    │ 0%       │ 49.9mb   │ root     │ disabled │
....########## Connecting to CHINA CDN8..############
│ 0   │ BJ11.1     │ default     │ N/A     │ cluster │ 21795    │ 30s    │ 225… │ online    │ 0%       │ 47.0mb   │ root     │ disabled │
│ 9   │ BJ11.10    │ default     │ N/A     │ cluster │ 21835    │ 20s    │ 227… │ online    │ 0%       │ 46.3mb   │ root     │ disabled │
│ 1   │ BJ11.2     │ default     │ N/A     │ cluster │ 21554    │ 105s   │ 225… │ online    │ 0%       │ 53.8mb   │ root     │ disabled │
│ 2   │ BJ11.3     │ default     │ N/A     │ cluster │ 21902    │ 4s     │ 223… │ online    │ 0%       │ 48.1mb   │ root     │ disabled │
│ 3   │ BJ11.4     │ default     │ N/A     │ cluster │ 21760    │ 41s    │ 224… │ online    │ 0%       │ 49.3mb   │ root     │ disabled │
│ 4   │ BJ11.5     │ default     │ N/A     │ cluster │ 21801    │ 30s    │ 470… │ online    │ 0%       │ 46.4mb   │ root     │ disabled │
│ 5   │ BJ11.6     │ default     │ N/A     │ cluster │ 21879    │ 18s    │ 213… │ online    │ 0%       │ 46.6mb   │ root     │ disabled │
│ 6   │ BJ11.7     │ default     │ N/A     │ cluster │ 21857    │ 19s    │ 221… │ online    │ 0%       │ 47.6mb   │ root     │ disabled │
│ 7   │ BJ11.8     │ default     │ N/A     │ cluster │ 21464    │ 2m     │ 224… │ online    │ 0%       │ 55.4mb   │ root     │ disabled │
│ 8   │ BJ11.9     │ default     │ N/A     │ cluster │ 21738    │ 45s    │ 217… │ online    │ 0%       │ 47.1mb   │ root     │ disabled │
│ 10  │ SB9.1      │ default     │ N/A     │ cluster │ 21715    │ 60s    │ 248… │ online    │ 0%       │ 51.2mb   │ root     │ disabled │
